Nr,Bow#,Sail Number,Unnamed: 3,Team  Boat Name,T,N,R1,R2,R3,R4,R5,R6,R7,R8,R9
75,40,LTU 210951  M. PAJARSKAS,Martis PAJARSKAS  LBS/ LOSC  Martis PAJARSKAS  LBS/ LOSC,LTU  Bangputys,258,207,42,(51.0)  DSQ,21,35,34,8,23,12,32
76,91,GBR 210020  A. GOODWIN,Alistair GOODWIN  Alistair GOODWIN,GBR  Haversham SC,259,208,32,37,29,35,7,(51.0)  BFD,29,5,34
77,47,JPN 208222  A. HIGUCHI,Ao HIGUCHI  Ao HIGUCHI,JPN,260,218,39,(42.0),30,32,6,40,17,39,15
78,103,FRA 210584  K. NICOLAS,Kroll NICOLAS  Kroll NICOLAS,FRA,277,226,(51.0)  DNF,33,28,44,16,27,26,19,33
79,111,ECU 188778  M. DYCK,Matias DYCK  Matias DYCK,ECU  Salinas Yacht Club,268,227,38,31,31,(41.0),24,28,27,24,24
80,63,SWE 201082  E. GIPPERTH,Edvin GIPPERTH  Blixten  Edvin GIPPERTH  Blixten,SWE  GKSS,282,231,41,39,(51.0)  RET,37,15,17,24,7,51.0  BFD
81,90,GBR 191800  D. WHITELEY,Daniel WHITELEY  Daniel WHITELEY,GBR  Port Dinorwic Sailing Club,279,232,31,(47.0),39,39,8,22,31,40,22
82,93,UKR 172010  I. ZHUKALIN,ivan ZHUKALIN  Ivan ZHUKALIN,UKR  1.SSCSK1. Segel- und Surf-Club,271,234,(37.0),37,34,37,31,30,34,4,27
83,108,GER 211417  M. MÜLLER,MÜLLER Maximilian  Maximilian MÜLLER,GER  LRVLaboer Regatta-Verein v. 1910 e.V.,297,246,41,36,31,34,25,(51.0)  BFD,12,37,30
84,60,GER 209429  N. STEENBUCK,Nico STEENBUCK  Nico STEENBUCK,GER  SCSZSegelclub Salzgitter e. V.,297,249,46,39,(48.0),46,17,14,11,36,40
85,78,CAN 206118  J. NORTON,Justin NORTON  Justin NORTON,CAN,307,256,30,27,17,28,43,25,36,50,(51.0)  DNC
86,29,VEN 191939  A. LAGE,Andres LAGE  Andres LAGE,VEN  Club Náutico Aldayeta,306,261,(45.0),30,38,36,21,37,42,28,29
87,72,CAN 210653  B. AULTHOUSE,Brendan AULTHOUSE  Brendan AULTHOUSE,CAN,313,265,34,42,29,(48.0),38,38,45,13,26
88,74,GBR 209087  H. ECKSTEIN,Hamish ECKSTEIN  Hamish ECKSTEIN,GBR  Dachicks SC,325,278,40,38,(47.0),47,30,39,33,34,17
89,38,FRA 207564  T. SIMON,Thomas SIMON  Thomas SIMON,FRA  SRB,330,279,26,28,32,40,42,(51.0)  BFD,47,43,21
90,66,SWE 206408  A. JOHNSSON,Albin JOHNSSON  Albin JOHNSSON,SWE  GKSS,331,280,42,43,(51.0)  UFD,46,26,20,41,18,44
91,107,NED 194915  J. BURGHGRAEF,Joris BURGHGRAEF  Joris BURGHGRAEF,NED,337,286,36,36,27,43,44,(51.0)  BFD,43,22,35
92,69,CZE 208429  J.B. JANCA,Jean-Baptiste JANCA  Speedy JB  Jean-Baptiste JANCA  Speedy JB,CZE  CZEYC LS Brno,342,295,(47.0),43,41,47,33,35,40,17,39
93,75,GBR 212153  B.T. FLOWER,Benjamin-Timothy FLOWER  Benjamin-Timothy FLOWER,GBR  Tobermory,351,302,47,(49.0),44,45,46,16,35,33,36
94,54,FRA 206367  F. LAVENANT,Frank LAVENANT  Frank LAVENANT,FRA  Snbsm,353,302,37,40,33,25,36,44,(51.0)  UFD,46,41
95,110,GBR 209413  L. SMITH,SMITH Lewis  Lewis SMITH,GBR  Royal Forth Yacht Club,369,319,43,45,46,(50.0),37,33,30,48,37
96,34,FIN 203066  A. AHVONEN,Aarni AHVONEN  Aarni AHVONEN,FIN,386,335,44,41,(51.0)  DNS,42,47,36,37,45,43
97,114,NED 202991  S. RAMDAS,Shivam RAMDAS  Shivam RAMDAS,NED,387,336,(51.0)  DNC,51.0  DNC,44,45,35,42,39,42,38
98,70,SWE 203884  E. ALNEBECK,Emil ALNEBECK  LIROS ROPES  Emil ALNEBECK  LIROS ROPES,SWE  GKSS,390,341,46,46,43,48,40,32,44,(49.0),42
99,87,MKD 200700  N. CHURKOSKI,Nikola CHURKOSKI  EK SNEGAR/WSC  Nikola CHURKOSKI  EK SNEGAR/WSC,MKD,405,354,45,44,45,49,41,41,48,41,(51.0)  DNC
100,71,NED 198760  J. AMATO,Joshua AMATO  GOOFY  Joshua AMATO  GOOFY,NED,414,363,48,48,46,49,48,43,46,35,(51.0)  DNC
