Name,SailNum,Cty,Total,Net,QR1_yellow,QR1_blue,QR1_red,QR2_yellow,QR2_blue,QR2_red,QR3_yellow,QR3_blue,QR3_red,QR4_yellow,QR4_blue,QR4_red,QR5_yellow,QR5_blue,QR5_red,QR6_yellow,QR6_blue,QR6_red,FR7_gold,FR7_silver,FR7_bronze,FR8_gold,FR8_silver,FR8_bronze,FR9_gold,FR9_silver,FR9_bronze,FR10_gold,FR10_silver,FR10_bronze,FR11_gold,FR11_silver,FR11_bronze,FR12_gold,FR12_silver,FR12_bronze,fleet
Josh ARMIT,77,NZL,311,246.0,,,8.0,,,21.0,12.0,,,22.0,,,21.0,,,19.0,,,,30.0,,,37.0,,,24.0,,,37.0,,,37.0,,,43.0,,2.0
Marnix BOS,87,NED,324,247.0,,17.0,,,34.0,,,,24.0,,,31.0,23.0,,,26.0,,,,7.0,,,30.0,,,43.0,,,28.0,,,31.0,,,30.0,,2.0
Anastasios PANAGIOTIDIS,93,GRE,330,258.0,,29.0,,,20.0,,19.0,,,27.0,,,24.0,,,20.0,,,,43.0,,,23.0,,,13.0,,,36.0,,,33.0,,,43.0,,2.0
Keerati BUALONG,90,THA,366,280.0,,10.0,,,43.0,,,20.0,,,26.0,,,,28.0,,,35.0,,11.0,,,43.0,,,37.0,,,34.0,,,36.0,,,43.0,,2.0
Juan BISIO,58,ARG,382,309.0,,,18.0,,,26.0,,30.0,,,25.0,,,,27.0,,,28.0,,43.0,,,29.0,,,27.0,,,43.0,,,43.0,,,43.0,,2.0
Clemente SEGUEL LACAMARA,60,CHI,130,,,,,,,,,,,,,,,,,,,,,43.0,,,11.0,,,25.0,,,10.0,,,19.0,,,22.0,,2.0
Kazumasa SEGAWA,57,JPN,211,155.0,,,43.0,,,39.0,,,27.0,,,17.0,,28.0,,,32.0,,,,1.0,,,5.0,,,13.0,,,1.0,,,3.0,,,2.0,3.0
Arthit Mikhail ROMANYK,99,THA,231,155.0,,27.0,,,19.0,,,,28.0,,,28.0,,,30.0,,,33.0,,,2.0,,,7.0,,,4.0,,,43.0,,,6.0,,,4.0,3.0
Giacomo MUSONE,72,ITA,207,163.0,24.0,,,15.0,,,,26.0,,,35.0,,,32.0,,,33.0,,,,5.0,,,9.0,,,9.0,,,6.0,,,4.0,,,9.0,3.0
Gustavo CORREA NASCIMENTO,113,BRA,242,165.0,,,29.0,,,34.0,22.0,,,29.0,,,,27.0,,,21.0,,,,4.0,,,2.0,,,1.0,,,43.0,,,7.0,,,23.0,3.0
Yigit Yalcin CITAK,109,TUR,217,171.0,20.0,,,33.0,,,30.0,,,24.0,,,,30.0,,,31.0,,,,9.0,,,1.0,,,10.0,,,13.0,,,5.0,,,11.0,3.0
Samuel KING,100,AUS,249,171.0,,,20.0,,,30.0,,35.0,,,29.0,,,,29.0,,,29.0,,,43.0,,,14.0,,,15.0,,,3.0,,,1.0,,,1.0,3.0
Luke RUITENBERG,47,CAN,235,179.0,,24.0,,,28.0,,28.0,,,30.0,,,32.0,,,22.0,,,,,3.0,,,8.0,,,19.0,,,24.0,,,10.0,,,7.0,3.0
Wilhelm KARK,52,SWE,270,184.0,,,25.0,,,32.0,,31.0,,,34.0,,,,25.0,,,43.0,,,8.0,,,4.0,,,43.0,,,2.0,,,2.0,,,21.0,3.0
Yuichiro KITAMURA,92,JPN,238,184.0,27.0,,,30.0,,,25.0,,,26.0,,,34.0,,,24.0,,,,,10.0,,,13.0,,,3.0,,,11.0,,,20.0,,,15.0,3.0
Justin NORTON,67,CAN,249,193.0,28.0,,,24.0,,,34.0,,,31.0,,,,,37.0,,,32.0,,,19.0,,,11.0,,,6.0,,,7.0,,,8.0,,,12.0,3.0
Stijn PAARDEKOOPER,94,NED,250,197.0,,,28.0,,,36.0,,,36.0,,,32.0,30.0,,,34.0,,,,,17.0,,,3.0,,,5.0,,,5.0,,,16.0,,,8.0,3.0
Fredrik WESTMAN,91,FIN,269,210.0,33.0,,,36.0,,,,22.0,,,28.0,,,,35.0,,,31.0,,,13.0,,,16.0,,,7.0,,,12.0,,,23.0,,,13.0,3.0
Leo BOUCHER,86,USA,279,211.0,37.0,,,29.0,,,33.0,,,35.0,,,,,33.0,,,34.0,,,6.0,,,10.0,,,12.0,,,16.0,,,31.0,,,3.0,3.0
Luke DEEGAN,98,NZL,289,214.0,32.0,,,32.0,,,,,29.0,,,24.0,,31.0,,,27.0,,,,23.0,,,21.0,,,8.0,,,10.0,,,9.0,,,43.0,3.0
Georg Philip BUNK LAURITSEN,95,DEN,276,214.0,,,34.0,,,27.0,,,32.0,,,33.0,,35.0,,,39.0,,,,11.0,,,6.0,,,11.0,,,23.0,,,19.0,,,6.0,3.0
Jacob FARREN-PRICE,96,GBR,282,219.0,,35.0,,,22.0,,,,34.0,,,34.0,,,32.0,,,27.0,,,12.0,,,24.0,,,16.0,,,8.0,,,28.0,,,10.0,3.0
Mark WONG,97,SGP,302,224.0,25.0,,,27.0,,,,32.0,,,32.0,,33.0,,,35.0,,,,,15.0,,,12.0,,,21.0,,,43.0,,,13.0,,,14.0,3.0
Upamanyu DUTTA,105,IND,306,239.0,,26.0,,,26.0,,,,26.0,,,30.0,37.0,,,36.0,,,,,30.0,,,15.0,,,23.0,,,21.0,,,12.0,,,24.0,3.0
Ao HIGUCHI,107,JPN,317,253.0,,,35.0,,,37.0,,37.0,,,33.0,,,34.0,,,38.0,,,,21.0,,,18.0,,,17.0,,,4.0,,,17.0,,,26.0,3.0
