Sail No.,Name,T,N,QR1,QR2,QR3,QR4,QR5,QR6,FR7,FR8,FR9,FR10,FR11,FR12
JPN 211154,Yuichiro Kitamura,351,252,46,17,37,35,42,34,13,23,53 DSQ,15,26,10
BUL 213372,Lyuben Tenekedzhiev,344,253,4,30,40,39,45,46,12,43,15,12,32,26
TPE 197743,Gerald Williams,341,257,39,42,33,38,42,37,23,37,22,1,4,23
CZE 211236,Jakub Halouzka,340,257,33,33,39,36,44,33,19,8,33,27,18,17
GRE 201659,Patroklos-Theodoros Tsaramyrsis,359,260,37,53 BFD,32,46,40,42,16,19,9,7,33,25
CAN 208550,Matti Muru,370.6,266,10,53 BFD,42,51.6 DPI,48,46,18,30,19,5,29,19
GUA 182121,Gabriel Sanz-Agero,372,266,35,53 BFD,45,38,38,39,20,5,20,11,15,53
USA 199796,Malcolm Lamphere,353,270,43,36,21,40,22,36,25,10,31,38,27,24
DEN 215515,Philip Georg Lauritsen Bunk,372,272,44,53 BFD,44,44,47,40,14,13,6,8,30,29
BER 215024,Benn Malcolm Smith,366,273,43,31,45,43,48,45,2,12,34,13,20,30
KOR 210791,Su Hyeon Yoon,379,281,15,26,53 DNF,45,43,39,22,45,32,28,11,20
TUR 191711,Alp Baltali,384,287,10,41,38,44,39,36,53 RET,32,18,24,21,28
GRE 210400,Marios Karadimas,412,324,41,37,42,40,45,43,36,31,24,23,23,27
JPN 215093,Hiroki Kodama,434,328,39,53 BFD,40,45,46,47,31,2,53 RET,14,31,33
VEN 213065,Andres Boccalandro,432,336,39,38,44,46,47,49,30,15,37,32,34,21
JPN 215038,Ken Fujimoto,451,355,34,35,47,42,49,47,21,27,38,40,37,34
LAT 210522,Karlis Eriks Zvilna,455,357,47,44,41,48,46,50,33,17,30,42,25,32
EST 212230,Martin Aruja,454,359,48,45,47,47,41,43,41,35,29,30,17,31
JPN 211151,Koichiro Sugiyama,458,360,49,33,49,48,46,44,40,29,5,43,36,36
EGY 214171,Aly Badawy,469.6,369,42,47,46,47,50,50.6 DPI,34,16,35,29,38,35
NZL 181998,Luke Deegan,468,371,47,40,36,33,43,35,37,50,36,35,39,37
JPN 208615,Shunsuke Kimura,491,392,51,43,48,48,47,45,35,36,25,33,41,39
USA 209289,Peter Hurley,496.6,400,45,34,43,48.6 DPI,44,48,39,39,41,37,40,38
JPN 205101,Kazushi Miyata,530,427,49,48,53 BFD,50,48,46,29,41,39,39,47,41
JPN 213161,Shigeki Miyako,535,432,52,36,49,49,50,51,38,26,46,47,48,43
JPN 211037,Rikizo Yamashita,535,434,50,32,50,51,49,47,42,34,45,44,49,42
JPN 109377,Akihiro Okawa,556,452,50,42,52,52,50,49,43,42,42,41,45,48
JPN 206773,Masanori Kubo,557,454,46,46,44,52,51,48,45,40,40,49,51,45
JPN 205102,Yoshiharu Cho,562,461,52,44,48,49,49,49,49,47,48,45,42,40
JPN 164166,Manabu Hotta,567,465,49,41,50,51,51,50,47,46,47,48,43,44
USA 180521,Marek Zaleski,574,468,40,16,53 BFD,41,53 DNC,53 DNC,53 DNC,53 DNC,53 DNC,53 DNC,53 DNC,53
JPN 166990,Ikuhiro Fukuda,582,477,51,50,51,50,52,52,46,44,43,46,44,53
EGY 207710,Omar Metwally,588,483,48,53 BFD,51,50,51,52,48,48,44,50,46,47
JPN 196488,Shinya Sakurai,589,485,52,49,43,51,52,51,44,51,49,51,50,46
