Nation,Sail Number,Name,R1,R2,R3,R4,R5,R6,R7,Total,Net
ITA,ITA 213017,Rodolfo Silvestrini,38,25,47,3,(57)DNF,20,24,241,184
USA,USA 180521,Marek Zaleski,25,18,17,39,24,(45),38,230,185
ESP,ESP 209164,Carlos Rosello,46,45,2,6,(51),37,46,241,190
USA,USA 209071,Henry Marshall,40,24,28,40,1,41,(50),240,190
SWE,SWE 211276,Emil Bengtson,41,25,40,23,17,(43),23,233,190
ITA,ITA 213752,Ciro Basile,13,(40),36,18,39,26,32,232,192
POR,POR 212213,Santiago Sampaio,37,43,13,38,34,(53),30,252,199
ITA,ITA 210415,Luca Lorenzoni,28,34,37,(40),38,38,9,244,204
GBR,GBR 213719,Sam Whaley,23,39,(45),36,35,21,22,250,205
ITA,ITA 213176,Matteo Guardigli,31,51,42,28,1,24,29,262,206
ESP,ESP 212175,Ramiro Foguet Rojas,41,49,43,32,19,(57)DNC,7,267,210
CZE,CZE 211236,Jakub Halouzka,(51),33,26,30,36,42,34,263,212
CZE,CZE 195103,Stepan Novotny,16,38,33,(51),41,40,14,263,212
FIN,FIN 215436,Nooa Henrik Laukkanen,20,(57)UFD,23,29,35,57RET,40,270,213
GRE,GRE 212504,ANASTASIOS PANAGIOTIDIS,35,23,(44),42,44,37,31,259,215
JPN,JPN 204996,Yoshihiro SUZUKI,30,20,41,38,(57)DNC,7,47,277,220
ESP,ESP 213498,Manuel barber Ponciano,(47),47,31,14,32,29,33,268,221
TUR,TUR 191719,Berkay Abay,39,36,33,45,(46),34,25,268,222
ESP,ESP 215314,Pep Cazador Ribera,42,36,45,41,31,(51),3,274,223
ISR,ISR 202121,Omer Golani,43,43,5,44,45,42,2,280,224
CAN,CAN 214917,Hugh Macrae,26,28,(57)UFD,57DNF,20,32,56DNC,283,226
IRL,IRL 210978,Liam Glynn,50,24,28,27,(55),25,37,284,229
MNE,MNE 213370,Ilija Markovic,36,26,38,(57)DNF,53,36,26,287,230
USA,USA 199796,Malcolm Lamphere,32,31,24,42,39,(57)DNC,36,292,235
HKG,HKG 171979,Hong Kong,(57)DNC,49,39,33,47,23,18,306,249
BUL,BUL 213486,Ivo Todorov,39,(52),51,35,52,7,20,301,249
CAN,CAN 212612,Justin Norton,47,34,(50),49,40,12,21,299,249
CAN,CAN 214514,Luke Ruitenberg,(49),44,48,24,37,44,6,301,252
USA,USA 211822,Paul Didham,(51),44,44,47,22,48,27,305,254
ESP,ESP 213859,Mario Plomer Quiroga,45,42,36,43,45,45,(48),310,262
ARG,ARG 199218,Juan Alberto Casalone,46,47,51,15,50,(57)DNC,19,327,270
EST,EST 212229,Georg Haud,(53),37,38,45,21,43,35,323,270
JPN,JPN 211154,Yuichiro Kitamura,37,38,(49),48,36,40,39,323,274
MEX,MEX 181615,Juan Ignacio Perez,(54),40,42,53,42,47,15,332,278
GRE,GRE 210400,Marios Karadimas,50,50,(54),30,42,31,42,332,278
ITA,ITA 211393,Dariush Ghasemzadeh Esfahani,45,52,(53),46,32,28,49,346,293
SGP,SGP 199094,Mark Wong,43,51,39,48,41,46,(54),348,294
ITA,ITA 215275,Andrea Ribolzi,35,48,43,50,49,39,43,363,307
EST,EST 212230,Martin Aruja,44,45,46,(51),48,38,44,359,308
GBR,GBR 211414,Cameron Tweedle,42,(53),52,52,29,36,52,364,311
ITA,ITA 207626,AMOS DI BENEDETTO,(52),50,50,52,44,47,28,373,321
GBR,GBR 211726,Benjamin Flowerr,(56),41,41,47,49,52,45,378,322
ITA,ITA 212295,Andrea Chiappe,49,46,47,(53),50,46,51,376,323
ITA,ITA 211062,Pietro De Frenza,48,48,49,50,(54),54,53,400,346
