,Nr,Bow#,Sail Number,Unnamed: 3,Team  Boat Name,Club,Boat Type,Hdcp.,CDL,T,N,Sailed Time,Sailed Time.1,Sailed Time.2,Sailed Time.3,Sailed Time.4,Sailed Time.5,Sailed Time.6,Sailed Time.7,Sailed Time.8,Sailed Time.9,Calculated Time,Calculated Time.1,Calculated Time.2,Calculated Time.3,Calculated Time.4,Calculated Time.5,Calculated Time.6,Calculated Time.7,Calculated Time.8,Calculated Time.9,Q1,Q2,Q3,Q4,Q5,Q6,F1,F2,F3,M1,Q1Q2Q3Q4Q5Q6F1F2F3M1,Unnamed: 42
222,112.0,,POL 192583  D. KOSMALSKI,Damian KOSMALSKI  Damian KOSMALSKI,POL  CHKŻ ChChojnicki Klub Żeglarski Chojnice,,,,,290.0,245.0,,,,,,,,,,,,,,,,,,,,,37.0,6.0,40.0,38.0,(45.0)  DNF,45.0  DNC,13.0,21.0,45.0  DNC,,37.0  6.0  40.0  38.0  (45.0)  DNF  45.0  DNC  13.0  21.0  45.0  DNC,
223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,113.0,,PHI 212611  R.J. CRUZ,Rubin Jr CRUZ  Rubin Jr CRUZ,PHI  Philippine Sailing Association,,,,,292.0,247.0,,,,,,,,,,,,,,,,,,,,,30.0,35.0,42.0,40.0,(45.0)  DNC,32.0,23.0  DPI,26.0  DPI,19.0  DPI,,30.0  35.0  42.0  40.0  (45.0)  DNC  32.0  23.0  DPI  26.0  DPI  19.0  DPI,
225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,114.0,,POL 198206  K. BLASZCZYK,?2 ?2  Kocpor BLASZCZYK,POL  PZŻ,,,,,295.0,250.0,,,,,,,,,,,,,,,,,,,,,36.0,7.0,34.0,(45.0)  DNC,37.0,45.0  DNC,19.0,27.0,45.0  BFD,,36.0  7.0  34.0  (45.0)  DNC  37.0  45.0  DNC  19.0  27.0  45.0  BFD,
227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,115.0,,FIN 200871  O. AAKKO,Ohto AAKKO  laser  Ohto AAKKO  laser,FIN  NJKnyländska jaktklubben,,,,,298.0,253.0,,,,,,,,,,,,,,,,,,,,,40.0,38.0,40.0,35.0,31.0,29.0,(45.0)  BFD,23.0,17.0,,40.0  38.0  40.0  35.0  31.0  29.0  (45.0)  BFD  23.0  17.0,
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,116.0,,CZE 208429  J.B. JANCA,Jean-Baptiste JANCA  Speedy JB  Jean-Baptiste JANCA  Speedy JB,CZE  CZEYC LS Brno,,,,,312.0,267.0,,,,,,,,,,,,,,,,,,,,,44.0,23.0,36.0,36.0,35.0,33.0,(45.0)  BFD,15.0,45.0  BFD,,44.0  23.0  36.0  36.0  35.0  33.0  (45.0)  BFD  15.0  45.0  BFD,
231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,117.0,,POL 203776  M. WADEK,Michal WADEK  Kiler  Michal WADEK  Kiler,POL  GARLAND GliwiceKW LOK GARLAND Gliwice,,,,,320.0,275.0,,,,,,,,,,,,,,,,,,,,,38.0,43.0,30.0,30.0,38.0,35.0,16.0,(45.0)  BFD,45.0  BFD,,38.0  43.0  30.0  30.0  38.0  35.0  16.0  (45.0)  BFD  45.0  BFD,
233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,118.0,,GER 204688  F. SPONHOLZ,Felix SPONHOLZ  ik  Felix SPONHOLZ  ik,GER  YCBGYachtclub Berlin-Grünau e. V.,,,,,322.0,277.0,,,,,,,,,,,,,,,,,,,,,39.0,37.0,(45.0)  DNC,45.0  DNC,45.0  DNC,45.0  DNC,10.0,11.0,45.0  BFD,,39.0  37.0  (45.0)  DNC  45.0  DNC  45.0  DNC  45.0  DNC  10.0  11.0  45.0  BFD,
235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,119.0,,GBR 209087  H. ECKSTEIN,Hamish ECKSTEIN  Hamish ECKSTEIN,GBR  Dachicks SC,,,,,324.0,279.0,,,,,,,,,,,,,,,,,,,,,37.0,33.0,37.0,28.0,32.0,22.0,(45.0)  DNC,45.0  DNC,45.0  DNC,,37.0  33.0  37.0  28.0  32.0  22.0  (45.0)  DNC  45.0  DNC  45.0  DNC,
237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,120.0,,POL 210953  P. NOWICKI,Paweł NOWICKI  Paweł NOWICKI,POL  87-100TKŻ Toruń,,,,,326.0,281.0,,,,,,,,,,,,,,,,,,,,,38.0,30.0,38.0,37.0  RDG,34.0,(45.0)  DNC,45.0  BFD,14.0  DPI,45.0  BFD,,38.0  30.0  38.0  37.0  RDG  34.0  (45.0)  DNC  45.0  BFD  14.0  DPI  45.0  BFD,
239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,121.0,,HKG 172784  HOOD M.,HOOD Malik  HOOD Malik,HKG  J Asia,,,,,330.0,285.0,,,,,,,,,,,,,,,,,,,,,34.0,33.0,33.0,(45.0)  DNC,45.0  DNC,28.0,45.0  BFD,22.0,45.0  DNC,,34.0  33.0  33.0  (45.0)  DNC  45.0  DNC  28.0  45.0  BFD  22.0  45.0  DNC,
241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,122.0,,HKG 201677  BEZY C.,BEZY Christopher  BEZY Christopher,HKG  J Asia,,,,,333.0,288.0,,,,,,,,,,,,,,,,,,,,,16.0,6.0,41.0,(45.0)  DNC,45.0  DNC,45.0  UFD,45.0  DNC,45.0  DNC,45.0  BFD,,16.0  6.0  41.0  (45.0)  DNC  45.0  DNC  45.0  UFD  45.0  DNC  45.0  DNC  45.0  BFD,
243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,123.0,,POL 192638  S. MAZUREK,MAZUREK Sebastian  Sebastian MAZUREK,POL  PZZ,,,,,339.0,294.0,,,,,,,,,,,,,,,,,,,,,(45.0),29.0,45.0  DNF,45.0  DNF,45.0  DNC,45.0  DNC,45.0  BFD,24.0,16.0,,(45.0)  29.0  45.0  DNF  45.0  DNF  45.0  DNC  45.0  DNC  45.0  BFD  24.0  16.0,
245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,124.0,,SWE 207831  M. MAGNUSSON,Marcus MAGNUSSON  RAKETEN  Marcus MAGNUSSON  RAKETEN,SWE  GKSSGKSS,,,,,344.0,299.0,,,,,,,,,,,,,,,,,,,,,33.0,8.0,33.0,(45.0)  DNC,45.0  DNC,45.0  DNC,45.0  DNC,45.0  DNC,45.0  DNC,,33.0  8.0  33.0  (45.0)  DNC  45.0  DNC  45.0  DNC  45.0  DNC  45.0  DNC  45.0  DNC,
247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,125.0,,GBR 20837  G. MUNRO,Gillies MUNRO  Windswept  Gillies MUNRO  Windswept,GBR  Royal Findhorn Yacht Club,,,,,352.0,307.0,,,,,,,,,,,,,,,,,,,,,37.0,8.0,43.0,39.0,(45.0)  DNC,45.0  DNC,45.0  DNC,45.0  DNC,45.0  DNC,,37.0  8.0  43.0  39.0  (45.0)  DNC  45.0  DNC  45.0  DNC  45.0  DNC  45.0  DNC,
249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,126.0,,SVK 180759  M. ANDEL,Michal ANDEL  Michal ANDEL,SVK  Slovak RepublicJacht Klub Tatran Bratislava,,,,,360.0,315.0,,,,,,,,,,,,,,,,,,,,,32.0,38.0,(45.0)  DNC,45.0  DNC,45.0  DNC,45.0  DNC,20.0,45.0  DNC,45.0  DNC,,32.0  38.0  (45.0)  DNC  45.0  DNC  45.0  DNC  45.0  DNC  20.0  45.0  DNC  45.0  DNC,
251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,127.0,,AUS 199093  J. LOOSEMORE,Jeff LOOSEMORE  Aussie Shark  Jeff LOOSEMORE  Aussie Shark,AUS  MHASC-GRSCMiddle Harbour Amateurs & Georges River,,,,,362.0,317.0,,,,,,,,,,,,,,,,,,,,,40.0,34.0,37.0,34.0,37.0,(45.0)  DNC,45.0  DNC,45.0  DNC,45.0  DNC,,40.0  34.0  37.0  34.0  37.0  (45.0)  DNC  45.0  DNC  45.0  DNC  45.0  DNC,
253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,128.0,,GBR 212153  B.T. FLOWER,Benjamin-Timothy FLOWER  Benjamin-Timothy FLOWER,GBR  Tobermory,,,,,371.0,326.0,,,,,,,,,,,,,,,,,,,,,43.0,26.0,32.0,(45.0)  DNC,45.0  DNC,45.0  DNC,45.0  DNC,45.0  DNC,45.0  DNC,,43.0  26.0  32.0  (45.0)  DNC  45.0  DNC  45.0  DNC  45.0  DNC  45.0  DNC  45.0  DNC,
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,129.0,,GER 211241  L. HANISCH,Leonhard HANISCH  Leonhard HANISCH,GER  NRVNorddeutscher Regatta Verein,,,,,371.0,326.0,,,,,,,,,,,,,,,,,,,,,32.0,30.0,(45.0)  DNC,45.0  DNC,39.0,45.0  DNC,45.0  DNC,45.0  DNC,45.0  DNC,,32.0  30.0  (45.0)  DNC  45.0  DNC  39.0  45.0  DNC  45.0  DNC  45.0  DNC  45.0  DNC,
257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,130.0,,SWE 208878  E. LINDSTEN,Erik LINDSTEN  @Camp_T  Erik LINDSTEN  @Camp_T,SWE  gkssgöteborgs Kungligasegelsällskap,,,,,380.0,335.0,,,,,,,,,,,,,,,,,,,,,36.0,39.0,35.0,(45.0)  DNC,45.0  DNC,45.0  DNC,45.0  DNC,45.0  DNC,45.0  DNC,,36.0  39.0  35.0  (45.0)  DNC  45.0  DNC  45.0  DNC  45.0  DNC  45.0  DNC  45.0  DNC,
259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,131.0,,TUR 195566  M.D. DINC,Mehmet Duran DINC  Mehmet Duran DINC,TUR  Galatasaray,,,,,382.0,336.0,,,,,,,,,,,,,,,,,,,,,(46.0)  BFD,46.0  BFD,20.0,45.0  DNC,45.0  DNC,45.0  DNC,45.0  DNC,45.0  DNC,45.0  DNC,,(46.0)  BFD  46.0  BFD  20.0  45.0  DNC  45.0  DNC  45.0  DNC  45.0  DNC  45.0  DNC  45.0  DNC,
261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,132.0,,CZE 196991  R. SOPOUSEK,Radek SOPOUSEK  Radek SOPOUSEK,CZE  YC Brno,,,,,391.0,346.0,,,,,,,,,,,,,,,,,,,,,35.0,41.0,(45.0)  DNC,45.0  DNC,45.0  DNC,45.0  DNC,45.0  DNC,45.0  DNC,45.0  DNC,,35.0  41.0  (45.0)  DNC  45.0  DNC  45.0  DNC  45.0  DNC  45.0  DNC  45.0  DNC  45.0  DNC,
263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
