,Nr,Bow#,Sail Number,Unnamed: 3,Team  Boat Name,Club,Boat Type,Hdcp.,CDL,T,N,Sailed Time,Sailed Time.1,Sailed Time.2,Sailed Time.3,Sailed Time.4,Sailed Time.5,Sailed Time.6,Sailed Time.7,Sailed Time.8,Sailed Time.9,Calculated Time,Calculated Time.1,Calculated Time.2,Calculated Time.3,Calculated Time.4,Calculated Time.5,Calculated Time.6,Calculated Time.7,Calculated Time.8,Calculated Time.9,Q1,Q2,Q3,Q4,Q5,Q6,F1,F2,F3,M1,Q1Q2Q3Q4Q5Q6F1F2F3M1,Unnamed: 42
42,22.0,,MNE 211269  I. LES,Igor LES  Igor LES,MNE  YC Delfin Tivat,,,,,137.0,106.0,,,,,,,,,,,,,,,,,,,,,25.0,7.0,3.0,10.0,10.0,14.0,(31.0),19.0,18.0,,25.0  7.0  3.0  10.0  10.0  14.0  (31.0)  19.0  18.0,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,23.0,,UKR 172672  V. KUDRYASHOV,Valeriy KUDRYASHOV  SHVSM  Valeriy KUDRYASHOV  SHVSM,UKR  SHVSM,,,,,152.0,107.0,,,,,,,,,,,,,,,,,,,,,5.0,4.0,7.0,14.0,12.0,8.0,36.0,21.0,(45.0)  BFD,,5.0  4.0  7.0  14.0  12.0  8.0  36.0  21.0  (45.0)  BFD,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,24.0,,GBR 210427  D. WHITELEY,Daniel WHITELEY  Daniel WHITELEY,GBR  Port Dinorwic Sailing Club,,,,,152.0,107.0,,,,,,,,,,,,,,,,,,,,,18.0,19.0,10.0,5.0,5.0,7.0,16.0,27.0,(45.0)  BFD,,18.0  19.0  10.0  5.0  5.0  7.0  16.0  27.0  (45.0)  BFD,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,25.0,,BEL 207173  W. de SMET,William DE SMET  William de SMET,BEL  RBSC,,,,,140.0,109.0,,,,,,,,,,,,,,,,,,,,,(31.0),16.0,5.0,15.0,8.0,23.0,13.0,15.0,14.0,,(31.0)  16.0  5.0  15.0  8.0  23.0  13.0  15.0  14.0,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,26.0,,CAN 208522  R. DAVIS,Robert DAVIS  Canadian Sailing Team  Robert DAVIS  Canadian Sailing Team,CAN  Kingston YC / Royal Canadian YC,,,,,133.0,110.0,,,,,,,,,,,,,,,,,,,,,20.0,2.0,16.0,13.0,14.0,13.0,(23.0),11.0,21.0,,20.0  2.0  16.0  13.0  14.0  13.0  (23.0)  11.0  21.0,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,27.0,,DEN 215214  P. DÖPPING,Patrick DÖPPING  212514  Patrick DÖPPING  212514,DEN  AAHBBAAHBB,,,,,146.0,110.0,,,,,,,,,,,,,,,,,,,,,11.0,26.0,18.0,7.0,4.0,5.0,(36.0)  DPI,30.0  DPI,9.0  DPI,,11.0  26.0  18.0  7.0  4.0  5.0  (36.0)  DPI  30.0  DPI  9.0  DPI,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,28.0,,ITA 196685  M. GALLO,Marco GALLO  Marco GALLO,ITA  Sez. Vela G.D.F,,,,,162.0,117.0,,,,,,,,,,,,,,,,,,,,,9.0,27.0,7.0,10.0,2.0,5.0,(45.0)  DNC,34.0,23.0,,9.0  27.0  7.0  10.0  2.0  5.0  (45.0)  DNC  34.0  23.0,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,29.0,,FRA 209786  G. MORVAN,Gaston MORVAN  Gaston MORVAN,FRA  Usam,,,,,160.0,120.0,,,,,,,,,,,,,,,,,,,,,18.0,17.0,6.0,7.0,10.0,16.0,(40.0),17.0,29.0,,18.0  17.0  6.0  7.0  10.0  16.0  (40.0)  17.0  29.0,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,30.0,,ITA 210758  Z. GREGORIN,Zeno GREGORIN  Zeno GREGORIN,ITA  SVOC,,,,,148.0,120.0,,,,,,,,,,,,,,,,,,,,,(28.0),24.0,8.0,9.0,7.0,14.0,15.0,24.0,19.0,,(28.0)  24.0  8.0  9.0  7.0  14.0  15.0  24.0  19.0,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,31.0,,POL 212506  D. KANIA,Dawid KANIA  Dawid KANIA,POL  ŻLKS KŻeglarski Ludowy Klub Sportowy Kiekrz,,,,,147.0,121.0,,,,,,,,,,,,,,,,,,,,,17.0,6.0,25.0,11.0,7.0,12.0,(26.0),23.0,20.0,,17.0  6.0  25.0  11.0  7.0  12.0  (26.0)  23.0  20.0,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,32.0,,BEL 210471  S. VANDORMAEL,Sam VANDORMAEL  Sam VANDORMAEL,BEL  VVWGVVWG,,,,,167.0,125.0,,,,,,,,,,,,,,,,,,,,,13.0,3.0,17.0,8.0,9.0,10.0,(42.0),37.0,28.0,,13.0  3.0  17.0  8.0  9.0  10.0  (42.0)  37.0  28.0,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,33.0,,FRA 211863  M. MAZARD,Maxime MAZARD  Maxime MAZARD,FRA  SNO Nantes,,,,,159.0,125.0,,,,,,,,,,,,,,,,,,,,,9.0,(34.0),13.0,13.0,11.0,7.0,19.0,26.0,27.0,,9.0  (34.0)  13.0  13.0  11.0  7.0  19.0  26.0  27.0,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,34.0,,TUR 207480  A. RODOPMAN,Alp RODOPMAN  Alp RODOPMAN,TUR  FB Dogus Yelken,,,,,172.0,127.0,,,,,,,,,,,,,,,,,,,,,7.0,13.0,11.0,12.0,12.0,12.0,25.0,35.0,(45.0)  BFD,,7.0  13.0  11.0  12.0  12.0  12.0  25.0  35.0  (45.0)  BFD,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,35.0,,FRA 212542  F. LAVENANT,Frank LAVENANT  Frank LAVENANT,FRA  Snbsm,,,,,182.0,137.0,,,,,,,,,,,,,,,,,,,,,14.0,26.0,6.0,6.0,9.0,14.0,17.0,(45.0)  DNC,45.0  BFD,,14.0  26.0  6.0  6.0  9.0  14.0  17.0  (45.0)  DNC  45.0  BFD,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,36.0,,MEX 202694  Y. GENTRY,Yanic GENTRY  UAL  Yanic GENTRY  UAL,MEX  FMV,,,,,182.0,137.0,,,,,,,,,,,,,,,,,,,,,8.0,9.0,12.0,15.0,8.0,(45.0)  DNC,24.0,39.0,22.0,,8.0  9.0  12.0  15.0  8.0  (45.0)  DNC  24.0  39.0  22.0,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,37.0,,POR 202213  S.V. SAMPAIO,Santiago Villax SAMPAIO  Santiago Villax SAMPAIO,POR  AAHBBHochseesegler Baden-Baden e. V.,,,,,186.0,141.0,,,,,,,,,,,,,,,,,,,,,5.0,10.0,15.0,9.0,6.0,(45.0)  DNC,39.0,32.0,25.0,,5.0  10.0  15.0  9.0  6.0  (45.0)  DNC  39.0  32.0  25.0,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,38.0,,GER 211417  M. MÜLLER,MÜLLER Maximilian  Maximilian MÜLLER,GER  LRVLaboer Regatta-Verein v. 1910 e.V.,,,,,180.0,143.0,,,,,,,,,,,,,,,,,,,,,19.0,1.0,11.0,17.0,21.0,18.0,(37.0),30.0,26.0,,19.0  1.0  11.0  17.0  21.0  18.0  (37.0)  30.0  26.0,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,39.0,,BLR 171937  P. BABYCH,Pavel BABYCH  Pavel BABYCH,BLR  RCOP,,,,,197.0,152.0,,,,,,,,,,,,,,,,,,,,,24.0,3.0,16.0,19.0,17.0,8.0,34.0,(45.0)  DNC,31.0,,24.0  3.0  16.0  19.0  17.0  8.0  34.0  (45.0)  DNC  31.0,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,40.0,,TUR 191719  B. ABAY,Berkay ABAY  Abay  Berkay ABAY  Abay,TUR  Turkish Sailing Team,,,,,199.0,157.0,,,,,,,,,,,,,,,,,,,,,7.0,5.0,21.0,14.0,18.0,19.0,41.0,(42.0),32.0,,7.0  5.0  21.0  14.0  18.0  19.0  41.0  (42.0)  32.0,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,41.0,,POL 211314  J. RODZIEWICZ,Jakub RODZIEWICZ  Jakub RODZIEWICZ,POL  Sejk Pogon Szczecin,,,,,205.0,160.0,,,,,,,,,,,,,,,,,,,,,3.0,18.0,13.0,13.0,23.0,9.0,(45.0)  RET,36.0,45.0  DNE,,3.0  18.0  13.0  13.0  23.0  9.0  (45.0)  RET  36.0  45.0  DNE,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,42.0,,RUS 205344  E. SKORNYAKOV,Eduard SKORNYAKOV  Eduard SKORNYAKOV,RUS  CSKA,,,,,209.0,164.0,,,,,,,,,,,,,,,,,,,,,35.0,18.0,8.0,17.0,11.0,6.0,38.0,31.0,(45.0)  BFD,,35.0  18.0  8.0  17.0  11.0  6.0  38.0  31.0  (45.0)  BFD,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
