,Pos,Nation,Sail Number,Name,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,Total,Net,QR1_yellow,QR2_yellow,QR3_blue,QR4_blue,FR5_gold,FR6_gold,FR7_gold,FR8_gold,FR9_gold,FR10_gold,FR11_gold,FR_medal,QR3_yellow,QR4_yellow,QR1_blue,QR2_blue,FR5_silver,FR6_silver,FR7_silver,FR8_silver,FR9_silver,FR10_silver
57,58,CAN,CAN 209376,Luke Ruitenberg,34,27,(38),22,13,23,18,28,7,10,220,182,,,,,,,,,,,,,38,22,34,27,13,23,18,28,7,10
58,59,POL,POL 214117,Jakub Rodziewicz,24,(52)BFD,38,19,27,28,26,2,6,21,243,191,,,38,19,,,,,,,,,,,24,52BFD,27,28,26,2,6,21
59,60,USA,USA 157851,Leo Boucher,36,15,28,(44),23,6,20,13,42,12,239,195,,,28,44,,,,,,,,,,,36,15,23,6,20,13,42,12
60,61,POL,POL 208552,Filip Ciszkiewicz,9,27,44,(52)DSQ,5,22,29,18,40,5,251,199,9,27,,,,,,,,,,,44,52DSQ,,,5,22,29,18,40,5
61,62,HKG,HKG 171979,Hong Kong,(42),23,26,38,18,10,16,14,25,33,245,203,,,26,38,,,,,,,,,,,42,23,18,10,16,14,25,33
62,63,POL,POL 215006,Dawid Kania,18,19,35,25,38,30,(51)BFD,12,8,19,255,204,,,,,,,,,,,,,35,25,18,19,38,30,51BFD,12,8,19
63,64,CHN,CHN 211127,Zili Wang,29,33,23,(52)UFD,3,34,21,15,46,1,257,205,,,23,52UFD,,,,,,,,,,,29,33,3,34,21,15,46,1
64,65,ESP,ESP 213867,Mon Canellas Salas,(44),19,27,31,19,38,3,33,21,15,250,206,44,19,27,31,,,,,,,,,,,,,19,38,3,33,21,15
65,66,CAN,CAN 212612,Justin Norton,41,21,36,(46),4,14,11,40,12,30,255,209,41,21,,,,,,,,,,,36,46,,,4,14,11,40,12,30
66,67,BRN,BRN 212489,Abdulla Janahi,35,(52)BFD,17,39,29,7,9,27,28,29,272,220,35,52BFD,17,39,,,,,,,,,,,,,29,7,9,27,28,29
67,68,USA,USA 199796,Malcolm Lamphere,23,30,34,30,22,20,4,26,32,(39),260,221,,,,,,,,,,,,,34,30,23,30,22,20,4,26,32,39
68,69,PUR,PUR 174311,Pedro Luis Fernandez,37,(52)BFD,45,33,14,3,8,43,11,28STP,274,222,37,52BFD,,,,,,,,,,,45,33,,,14,3,8,43,11,28STP
69,70,SGP,SGP 215267,Ryan Lo,31,29,43,(52)UFD,15,9,42,25,13,17,276,224,31,29,,,,,,,,,,,43,52UFD,,,15,9,42,25,13,17
70,71,COL,COL 208822,Andrey Quintero,38,28,(40),38,35,36,5,24,4,22,270,230,,,,,,,,,,,,,40,38,38,28,35,36,5,24,4,22
71,72,BUL,BUL 213486,Ivo Todorov,(45),36,35,35,20,21,2,35,29,23,281,236,45,36,35,35,,,,,,,,,,,,,20,21,2,35,29,23
72,73,CAN,CAN 209616,Forrest Wachholz,(46),31,26,45,6,33,23,29,24,25,288,242,,,,,,,,,,,,,26,45,46,31,6,33,23,29,24,25
73,74,GUA,GUA 182112,Gabriel Sanz Agero,37,17,(41),25,12,12,31,41,26,41,283,242,,,41,25,,,,,,,,,,,37,17,12,12,31,41,26,41
74,75,ISR,ISR 202121,Omer Golani,15,34,39,34,(51)UFD,35,44,23,14,7,296,245,15,34,39,34,,,,,,,,,,,,,51UFD,35,44,23,14,7
75,76,CAN,CAN 215019,Liam Bruce,42,42,46,33,21,2,36,(48),15,9,294,246,42,42,46,33,,,,,,,,,,,,,21,2,36,48,15,9
76,77,FIN,FIN 215016,Fredrik Westman,(40),26,31,32,26,16,39,16,30,34,290,250,,,,,,,,,,,,,31,32,40,26,26,16,39,16,30,34
77,78,MEX,MEX 181615,Juan Ignacio Perez,36,37,(39),36,11,13,15,30,38,35,290,251,36,37,,,,,,,,,,,39,36,,,11,13,15,30,38,35
78,79,TPE,TPE 200315,Gerald Williams,44,(52)BFD,18,26,28,51DNC,19,11,17,40,306,254,,,18,26,,,,,,,,,,,44,52BFD,28,51DNC,19,11,17,40
79,80,USA,USA 180521,Marek Zaleski,39,40,32,(43),32,40,41,3,23,8,301,258,39,40,,,,,,,,,,,32,43,,,32,40,41,3,23,8
80,81,DEN,DEN 206979,Georg Philip Bunk Lauritsen,43,24,(44),32,16,37,25,42,9,31,303,259,,,44,32,,,,,,,,,,,43,24,16,37,25,42,9,31
81,82,POR,POR 212213,Santiago Sampaio,30,(52)BFD,33,52DNC,51DNE,24,6,9,22,36,315,263,,,33,52DNC,,,,,,,,,,,30,52BFD,51DNE,24,6,9,22,36
82,83,GBR,GBR 213719,Sam Whaley,25,(52)BFD,37,39,36,18,14,8,35,51BFD,315,263,,,,,,,,,,,,,37,39,25,52BFD,36,18,14,8,35,51BFD
83,84,BER,BER 209338,Malcolm Benn Smith,(48),28,27,31,31,29,33,38,10,37,312,264,48,28,,,,,,,,,,,27,31,,,31,29,33,38,10,37
84,85,SUI,SUI 215485,Nicolas Rolaz,(47),29,25,41,17,26,32,39,37,18,311,264,,,,,,,,,,,,,25,41,47,29,17,26,32,39,37,18
85,86,ECU,ECU 188778,Matias Dyck,(43),20,28,42,41,32,37,10,43,13,309,266,43,20,,,,,,,,,,,28,42,,,41,32,37,10,43,13
86,87,THA,THA 211027,Chusitt Punjamala,27,(52)BFD,52BFD,20,51UFD,19,24,34,19,24,322,270,27,52BFD,,,,,,,,,,,52BFD,20,,,51UFD,19,24,34,19,24
87,88,IVB,IVB 208841,Thad Lettsome,(47),39,45,42,42,43,45,7,5,16,331,284,47,39,45,42,,,,,,,,,,,,,42,43,45,7,5,16
88,89,USA,USA 211822,Paul Didham,40,31,43,(52)UFD,24,27,27,20,27,51BFD,342,290,40,31,43,52UFD,,,,,,,,,,,,,24,27,27,20,27,51BFD
89,90,ESP,ESP 216631,Jesus Rogel Sanchez,38,26,32,23,30,(51)DNF,40,31,34,38,343,292,38,26,32,23,,,,,,,,,,,,,30,51DNF,40,31,34,38
90,91,EST,EST 212230,Martin Aruja,50,41,48,(52)UFD,9,41,13,47,33,11,345,293,50,41,48,52UFD,,,,,,,,,,,,,9,41,13,47,33,11
91,92,EST,EST 212229,Georg Haud,(46),30,37,41,39,25,46,46,39,6,355,309,46,30,37,41,,,,,,,,,,,,,39,25,46,46,39,6
92,93,USA,USA 210459,Scott Rasmussen,48,(52)BFD,42,35,8,11,35,37,45,51DNC,364,312,,,,,,,,,,,,,42,35,48,52BFD,8,11,35,37,45,51DNC
93,94,MEX,MEX 200374,Gerardo Benitez,(49),33,41,44,37,45,34,19,31,32,365,316,49,33,,,,,,,,,,,41,44,,,37,45,34,19,31,32
94,95,BAR,BAR 160107,Scott Gittens,41,34,42,43,40,42,(51)BFD,32,16,28,369,318,,,42,43,,,,,,,,,,,41,34,40,42,51BFD,32,16,28
95,96,CAN,CAN 210644,James Juhasz,(51),35,46,37,51UFD,39,43,21,48,4,375,324,51,35,,,,,,,,,,,46,37,,,51UFD,39,43,21,48,4
96,97,CAY,CAY 206160,Jesse Jackson,45,32,(49),37,43,44,7,44,47,26,374,325,,,49,37,,,,,,,,,,,45,32,43,44,7,44,47,26
97,98,CAN,CAN 192936,Chris Dold,34,(52)BFD,30,48,51DNC,51DNC,28,36,18,51DNC,399,347,34,52BFD,,,,,,,,,,,30,48,,,51DNC,51DNC,28,36,18,51DNC
98,99,USA,USA 199338,Marshall McCann,39,(52)BFD,47,40,33,31,38,45,36,51BFD,412,360,,,,,,,,,,,,,47,40,39,52BFD,33,31,38,45,36,51BFD
99,100,MEX,MEX 200591,Adrian Elizondo Garza,49,35,50,45,44,46,(51)BFD,49,49,42,460,409,,,50,45,,,,,,,,,,,49,35,44,46,51BFD,49,49,42
100,101,USA,USA 171880,Steven Schwartz,(52)DNS,52DNC,52DNC,52DNC,51DNC,51DNC,51DNC,51DNC,51DNC,51DNC,514,462,,,,,,,,,,,,,52DNC,52DNC,52DNS,52DNC,51DNC,51DNC,51DNC,51DNC,51DNC,51DNC
