Name,SailNum,Cty,QR1_yellow,QR1_blue,QR1_red,QR2_yellow,QR2_blue,QR2_red,QR3_yellow,QR3_blue,QR3_red,QR4_yellow,QR4_blue,QR4_red,QR5_yellow,QR5_blue,QR5_red,QR6_yellow,QR6_blue,QR6_red,FR7_gold,FR7_silver,FR7_bronze,FR8_gold,FR8_silver,FR8_bronze,FR9_gold,FR9_silver,FR9_bronze,FR10_gold,FR10_silver,FR10_bronze,FR11_gold,FR11_silver,FR11_bronze,FR12_gold,FR12_silver,FR12_bronze
Nicolo VILLA,53,ITA,,5.0,,,7.0,,,,30.0,,,22.0,,29.0,,,23.0,,,22.0,,,33.0,,,36.0,,,26.0,,,28.0,,,28.0,
Giacomo MUSONE,72,ITA,24.0,,,15.0,,,,26.0,,,35.0,,,32.0,,,33.0,,,,5.0,,,9.0,,,9.0,,,6.0,,,4.0,,,9.0
Alessio SPADONI,104,ITA,17.0,,,25.0,,,,3.0,,,18.0,,4.0,,,4.0,,,12.0,,,37.0,,,22.0,,,17.0,,,5.0,,,14.0,,
Thad LETTSOME,103,IVB,35.0,,,35.0,,,31.0,,,43.0,,,,43.0,,,35.0,,,,24.0,,,30.0,,,24.0,,,43.0,,,21.0,,,16.0
Kenji NANRI,54,JPN,31.0,,,31.0,,,,29.0,,,19.0,,,,24.0,,,20.0,,18.0,,,15.0,,,3.0,,,29.0,,,18.0,,,18.0,
Kazumasa SEGAWA,57,JPN,,,43.0,,,39.0,,,27.0,,,17.0,,28.0,,,32.0,,,,1.0,,,5.0,,,13.0,,,1.0,,,3.0,,,2.0
Yoshihiro SUZUKI,82,JPN,,,26.0,,,22.0,,19.0,,,21.0,,,,31.0,,,15.0,,26.0,,,24.0,,,30.0,,,39.0,,,14.0,,,13.0,
Yuichiro KITAMURA,92,JPN,27.0,,,30.0,,,25.0,,,26.0,,,34.0,,,24.0,,,,,10.0,,,13.0,,,3.0,,,11.0,,,20.0,,,15.0
Ao HIGUCHI,107,JPN,,,35.0,,,37.0,,37.0,,,33.0,,,34.0,,,38.0,,,,21.0,,,18.0,,,17.0,,,4.0,,,17.0,,,26.0
Ken FUJIMOTO,118,JPN,,40.0,,,37.0,,,,39.0,,,39.0,,39.0,,,40.0,,,,31.0,,,43.0,,,33.0,,,27.0,,,43.0,,,29.0
