,Nation,Sail Number,Name,R1,R2,R3,R4,R5,R6,R7,Total,Net,QR1_blue,QR1_yellow,QR2_blue,QR2_yellow,QR3_yellow,QR4_yellow,QR5_yellow,QR6_yellow,QR3_blue,QR4_blue,QR5_blue,QR6_blue,FR7_gold,FR_medal,FR7_silver,FR8_silver,,
55,ITA,ITA 215111,Marco Gallo,(57)DSQ,57DSQ,57DSQ,57DSQ,57BFD,57DSQ,57DSQ,399,342,,57DSQ,,57DSQ,57DSQ,57DSQ,,,,,57BFD,57DSQ,57DSQ,,,,0,FALSE
56,SGP,SGP 215267,Ryan Lo,13,26,(57)DNC,54,12,11,8,182,125,13,,26,,,,,,57DNC,54,12,11,,,8,1,125,FALSE
57,MNE,MNE 215840,Milivoj Dukic,12,32,34,31,9,(41),4,177,136,,12,,32,34,31,9,41,,,,,,,4,14,177,TRUE
58,ITA,ITA 213174,Giacomo Musone,21,35,31,16,13,(57)DNF,13,204,147,,21,,35,31,16,,,,,13,57DNF,,,13,18,147,FALSE
59,SUI,SUI 215485,Nicolas Rolaz,24,16,8,37,(57)DNC,44,11,209,152,24,,16,,,,,,8,37,57DNC,44,,,11,12,152,FALSE
60,CHN,CHN 211225,Yang Yang,38,19,16,32,(43),17,17,205,162,,38,,19,16,32,,,,,43,17,,,17,23,205,TRUE
61,URU,URU 216133,Ignacio Rodriguez,23STP,12,21,37,37,30,(41),206,165,,23STP,,12,21,37,,,,,37,30,,,41,5,183,FALSE
62,CHI,CHI 211888,Clemente Seguel,(55),35,22,26,31,23,16,221,166,55,,35,,,,,,22,26,31,23,,,16,13,221,TRUE
63,ITA,ITA 209114,Giovanni Sanfilippo,40,46,22.1DPI,16,(47),35,5,213.1,166.1,40,,46,,,,,,22.1DPI,16,47,35,,,5,2,191,FALSE
64,ESP,ESP 196717,Pere Ponseti Mesquida,24,15,25,25,29,50,1,225,169,,24,,15,25,25,29,50,,,,,,,1,56DNF,169,FALSE
65,ESP,ESP 211710,Joel Rodriguez,28,22,30,21,26,(34),10,203,169,,28,,22,30,21,26,34,,,,,,,10,32,203,TRUE
66,GBR,GBR 214490,Daniel Whiteley,12,17,(57)UFD,34,40,48,12,237,180,12,,17,,,,40,48,57UFD,34,,,,,12,17,180,FALSE
67,ITA,ITA 213017,Rodolfo Silvestrini,38,25,47,3,(57)DNF,20,24,241,184,38,,25,,,,,,47,3,57DNF,20,,,24,27,184,FALSE
68,USA,USA 180521,Marek Zaleski,25,18,17,39,24,(45),38,230,185,25,,18,,,,,,17,39,24,45,,,38,24,230,TRUE
69,ESP,ESP 209164,Carlos Rosello,46,45,2,6,(51),37,46,241,190,46,,45,,,,,,2,6,51,37,,,46,8,241,TRUE
70,USA,USA 209071,Henry Marshall,40,24,28,40,1,41,(50),240,190,,40,,24,28,40,,,,,1,41,,,50,16,240,TRUE
71,SWE,SWE 211276,Emil Bengtson,41,25,40,23,17,(43),23,233,190,,41,,25,40,23,,,,,17,43,,,23,21,233,TRUE
72,ITA,ITA 213752,Ciro Basile,13,(40),36,18,39,26,32,232,192,,13,,40,36,18,,,,,39,26,,,32,28,232,TRUE
73,POR,POR 212213,Santiago Sampaio,37,43,13,38,34,(53),30,252,199,37,,43,,,,34,53,13,38,,,,,30,4,252,TRUE
74,ITA,ITA 210415,Luca Lorenzoni,28,34,37,(40),38,38,9,244,204,28,,34,,,,38,38,37,40,,,,,9,20,244,TRUE
75,GBR,GBR 213719,Sam Whaley,23,39,(45),36,35,21,22,250,205,,23,,39,45,36,35,21,,,,,,,22,29,250,TRUE
76,ITA,ITA 213176,Matteo Guardigli,31,51,42,28,1,24,29,262,206,,31,,51,42,28,1,24,,,,,,,29,56DNF,206,FALSE
77,ESP,ESP 212175,Ramiro Foguet Rojas,41,49,43,32,19,(57)DNC,7,267,210,41,,49,,,,,,43,32,19,57DNC,,,7,19,210,FALSE
78,CZE,CZE 211236,Jakub Halouzka,(51),33,26,30,36,42,34,263,212,51,,33,,,,36,42,26,30,,,,,34,11,263,TRUE
79,CZE,CZE 195103,Stepan Novotny,16,38,33,(51),41,40,14,263,212,16,,38,,,,41,40,33,51,,,,,14,30,263,TRUE
80,FIN,FIN 215436,Nooa Henrik Laukkanen,20,(57)UFD,23,29,35,57RET,40,270,213,20,,57UFD,,,,,,23,29,35,57RET,,,40,9,156,FALSE
81,GRE,GRE 212504,ANASTASIOS PANAGIOTIDIS,35,23,(44),42,44,37,31,259,215,35,,23,,,,44,37,44,42,,,,,31,3,259,TRUE
82,JPN,JPN 204996,Yoshihiro SUZUKI,30,20,41,38,(57)DNC,7,47,277,220,,30,,20,41,38,,,,,57DNC,7,,,47,37,220,FALSE
83,ESP,ESP 213498,Manuel barber Ponciano,(47),47,31,14,32,29,33,268,221,47,,47,,,,,,31,14,32,29,,,33,35,268,TRUE
84,TUR,TUR 191719,Berkay Abay,39,36,33,45,(46),34,25,268,222,,39,,36,33,45,,,,,46,34,,,25,10,268,TRUE
85,ESP,ESP 215314,Pep Cazador Ribera,42,36,45,41,31,(51),3,274,223,42,,36,,,,31,51,45,41,,,,,3,25,274,TRUE
86,ISR,ISR 202121,Omer Golani,43,43,5,44,45,42,2,280,224,,43,,43,5,44,,,,,45,42,,,2,56RET,224,FALSE
87,CAN,CAN 214917,Hugh Macrae,26,28,(57)UFD,57DNF,20,32,56DNC,283,226,26,,28,,,,20,32,57UFD,57DNF,,,,,56DNC,7,113,FALSE
88,IRL,IRL 210978,Liam Glynn,50,24,28,27,(55),25,37,284,229,50,,24,,,,55,25,28,27,,,,,37,38,284,TRUE
89,MNE,MNE 213370,Ilija Markovic,36,26,38,(57)DNF,53,36,26,287,230,,36,,26,38,57DNF,53,36,,,,,,,26,15,230,FALSE
